PROMPT_ID,PROMPT,GOLDEN_SQL_QUERY
32,Give me invoices linked to ARSD-161099,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL , ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT G ON AI.AR_GL_ACCOUNT_FK = G.AR_GL_ACCOUNT_PK WHERE G.GL_ACCOUNT_NUMBER = '1300' AND ai.ARSD_TICKET_NUMBER = 161099;"
38,Give me invoices linked to DRIS-1321,"SELECT AR.INVOICE_NUMBER, AR.INVOICE_TRANSACTION_DATE, AR.INVOICE_MEMO, AR.INVOICE_STATUS, AR.INVOICE_ORIGINAL_AMOUNT_LOCAL, AR.INVOICE_OPEN_AMOUNT_LOCAL, AR.INVOICE_DUE_AMOUNT_LOCAL, CUST.CUSTOMER_NAME, CUST.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE AR JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER CUST ON AR.AR_CUSTOMER_FK = CUST.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT AGA ON AR.AR_GL_ACCOUNT_FK = AGA.AR_GL_ACCOUNT_PK WHERE AGA.GL_ACCOUNT_NUMBER = '1300' AND AR.DRIS_TICKET_NUMBER = 1321"
42,List all closed invoices for Albertsons,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.payment_received_amount_local, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE ai.INVOICE_STATUS = 'CLOSED' AND (REGEXP_REPLACE(UPPER(ac.CUSTOMER_NAME), '[^a-zA-Z0-9]', '') LIKE 'ALBERTSONS%' OR REGEXP_REPLACE(UPPER(ac.BRAND), '[^a-zA-Z0-9]', '') LIKE 'ALBERTSONS%') AND aga.GL_ACCOUNT_NUMBER = '1300';"
44,"List all invoices for 26 Broadway, 24th Floor, New York NY-10004","SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ai.payment_received_amount_local, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE REGEXP_REPLACE(lower(ac.CUSTOMER_ADDRESS), '[^a-zA-Z0-9]', '') LIKE '26broadway24thfloornewyorkny10004%' AND aga.GL_ACCOUNT_NUMBER = '1300';"
48,List all invoices for dispatchbilling@olo.com. Include only the Canada subsidiary.,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ai.payment_received_amount_local, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.COMMON.DIM_SUBSIDIARY ds ON ai.SUBSIDIARY_FK = ds.SUBSIDIARY_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE aga.GL_ACCOUNT_NUMBER = '1300' AND ds.SUBSIDIARY_NAME = 'DoorDash Technologies Canada, Inc.' AND REGEXP_REPLACE(ac.CUSTOMER_EMAIL_ADDRESS, '[^a-zA-Z0-9]', '') ILIKE 'dispatchbillingolocom%';"
49,List all invoices for electronic.banking@albertsons.com for Q1,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND,customer_email_address FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE aga.GL_ACCOUNT_NUMBER = '1300' AND LOWER(ac.CUSTOMER_EMAIL_ADDRESS) = 'electronic.banking@albertsons.com' AND ai.INVOICE_TRANSACTION_DATE BETWEEN '2024-01-01' AND '2024-03-31';"
52,List all invoices with original amount 5400,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT ag ON ai.AR_GL_ACCOUNT_FK = ag.AR_GL_ACCOUNT_PK WHERE ai.INVOICE_ORIGINAL_AMOUNT_LOCAL = 5400 AND ag.GL_ACCOUNT_NUMBER = '1300'"
54,List all July invoices for Papa John's Pizza.,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE aga.GL_ACCOUNT_NUMBER = '1300' AND ai.INVOICE_TRANSACTION_DATE >= '2024-07-01' AND ai.INVOICE_TRANSACTION_DATE < '2024-08-01' AND ( REGEXP_REPLACE(ac.CUSTOMER_NAME, '[^a-zA-Z0-9]', '') ILIKE 'PapaJohnsPizza%' OR REGEXP_REPLACE(ac.BRAND, '[^a-zA-Z0-9]', '') ILIKE 'PapaJohnsPizza%' )"
55,"list all open invoices for amount = 12,340.96","SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE AS ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER AS ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT AS ag ON ai.AR_GL_ACCOUNT_FK = ag.AR_GL_ACCOUNT_PK WHERE ag.GL_ACCOUNT_NUMBER = '1300' AND ai.INVOICE_OPEN_AMOUNT_LOCAL = 12340.96 AND ai.INVOICE_STATUS IN ('OPEN', 'PAST DUE');"
57,List all open invoices for Subway for the US subsidiary,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.COMMON.DIM_SUBSIDIARY ds ON ai.SUBSIDIARY_FK = ds.SUBSIDIARY_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT aga ON ai.AR_GL_ACCOUNT_FK = aga.AR_GL_ACCOUNT_PK WHERE ds.SUBSIDIARY_NAME = 'DoorDash, Inc.' AND aga.GL_ACCOUNT_NUMBER = '1300' AND ai.INVOICE_STATUS IN ('OPEN', 'PAST DUE') AND ( REGEXP_REPLACE(LOWER(ac.CUSTOMER_NAME), '[^a-zA-Z0-9]', '') LIKE 'subway%' OR REGEXP_REPLACE(LOWER(ac.BRAND), '[^a-zA-Z0-9]', '') LIKE 'subway%' );"
58,List all outstanding invoices for Olo,"SELECT a.INVOICE_NUMBER, a.INVOICE_TRANSACTION_DATE, a.INVOICE_MEMO, a.INVOICE_STATUS, a.INVOICE_ORIGINAL_AMOUNT_LOCAL, a.INVOICE_OPEN_AMOUNT_LOCAL, a.INVOICE_DUE_AMOUNT_LOCAL, c.CUSTOMER_NAME, c.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE a JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER c ON a.AR_CUSTOMER_FK = c.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT g ON a.AR_GL_ACCOUNT_FK = g.AR_GL_ACCOUNT_PK WHERE g.GL_ACCOUNT_NUMBER = '1300' AND a.INVOICE_STATUS IN ('OPEN', 'PAST DUE') AND ( REGEXP_REPLACE(UPPER(c.CUSTOMER_NAME), '[^a-zA-Z0-9]', '') LIKE 'OLO%' OR REGEXP_REPLACE(UPPER(c.BRAND), '[^a-zA-Z0-9]', '') LIKE 'OLO%' )"
59,List all overdue invoices for customer Olo,"SELECT a.INVOICE_NUMBER, a.INVOICE_TRANSACTION_DATE,a.invoice_due_date,invoice_aging_in_days_bucket, a.INVOICE_MEMO, a.INVOICE_STATUS, a.INVOICE_ORIGINAL_AMOUNT_LOCAL, a.INVOICE_OPEN_AMOUNT_LOCAL, a.INVOICE_DUE_AMOUNT_LOCAL, c.CUSTOMER_NAME, c.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE a JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER c ON a.AR_CUSTOMER_FK = c.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT g ON a.AR_GL_ACCOUNT_FK = g.AR_GL_ACCOUNT_PK WHERE g.GL_ACCOUNT_NUMBER = '1300' AND a.INVOICE_STATUS IN ( 'PAST DUE') AND ( REGEXP_REPLACE(UPPER(c.CUSTOMER_NAME), '[^a-zA-Z0-9]', '') LIKE 'OLO%' OR REGEXP_REPLACE(UPPER(c.BRAND), '[^a-zA-Z0-9]', '') LIKE 'OLO%' )"
60,List all past due invoices for Olo,"SELECT a.INVOICE_NUMBER, a.INVOICE_TRANSACTION_DATE,a.invoice_due_date,invoice_aging_in_days_bucket, a.INVOICE_MEMO, a.INVOICE_STATUS, a.INVOICE_ORIGINAL_AMOUNT_LOCAL, a.INVOICE_OPEN_AMOUNT_LOCAL, a.INVOICE_DUE_AMOUNT_LOCAL, c.CUSTOMER_NAME, c.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE a JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER c ON a.AR_CUSTOMER_FK = c.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT g ON a.AR_GL_ACCOUNT_FK = g.AR_GL_ACCOUNT_PK WHERE g.GL_ACCOUNT_NUMBER = '1300' AND a.INVOICE_STATUS IN ( 'PAST DUE') AND ( REGEXP_REPLACE(UPPER(c.CUSTOMER_NAME), '[^a-zA-Z0-9]', '') LIKE 'OLO%' OR REGEXP_REPLACE(UPPER(c.BRAND), '[^a-zA-Z0-9]', '') LIKE 'OLO%' )"
61,List all unpaid invoices for expensepayables@safeway.com,"SELECT ai.INVOICE_NUMBER, ai.INVOICE_TRANSACTION_DATE, ai.INVOICE_MEMO, ai.INVOICE_STATUS, ai.INVOICE_ORIGINAL_AMOUNT_LOCAL, ai.INVOICE_OPEN_AMOUNT_LOCAL, ai.INVOICE_DUE_AMOUNT_LOCAL, ac.CUSTOMER_NAME, ac.BRAND FROM FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_INVOICE ai JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_CUSTOMER ac ON ai.AR_CUSTOMER_FK = ac.AR_CUSTOMER_PK JOIN FINCOPILOT_CDM_V3.ACCOUNTS_RECEIVABLE.AR_GL_ACCOUNT ag ON ai.AR_GL_ACCOUNT_FK = ag.AR_GL_ACCOUNT_PK WHERE ai.INVOICE_STATUS IN ('OPEN', 'PAST DUE') AND ag.GL_ACCOUNT_NUMBER = '1300' AND REGEXP_REPLACE(LOWER(ac.CUSTOMER_EMAIL_ADDRESS), '[^a-zA-Z0-9]', '') LIKE REGEXP_REPLACE('expensepayables@safeway.com', '[^a-zA-Z0-9]', '') || '%';"
